Package Name,Package Path,Package Version,CHANGELOG Path,Latest NPM Stable,Latest NPM Beta,Match Type
@azure/arm-agrifood,sdk/agrifood/arm-agrifood,1.0.0-beta.6,sdk/agrifood/arm-agrifood/CHANGELOG.md,,1.0.0-beta.6,LATEST_BETA
@azure-rest/agrifood-farming,sdk/agrifood/agrifood-farming-rest,1.0.0-beta.4,sdk/agrifood/agrifood-farming-rest/CHANGELOG.md,,1.0.0-beta.4,LATEST_BETA
@azure/arm-portal,sdk/portal/arm-portal,1.0.0-beta.6,sdk/portal/arm-portal/CHANGELOG.md,,1.0.0-beta.6,LATEST_BETA
@azure/arm-vmwarecloudsimple,sdk/vmwarecloudsimple/arm-vmwarecloudsimple,3.1.1,sdk/vmwarecloudsimple/arm-vmwarecloudsimple/CHANGELOG.md,3.1.1,,LATEST_STABLE
@azure/arm-servicefabricmesh,sdk/servicefabricmesh/arm-servicefabricmesh,3.0.0-beta.5,sdk/servicefabricmesh/arm-servicefabricmesh/CHANGELOG.md,2.2.1,3.0.0-beta.5,LATEST_BETA
@azure/arm-support,sdk/support/arm-support,3.0.1,sdk/support/arm-support/CHANGELOG.md,3.0.1,2.2.0-beta.2,LATEST_STABLE
@azure/arm-azurestack,sdk/azurestack/arm-azurestack,3.0.0-beta.6,sdk/azurestack/arm-azurestack/CHANGELOG.md,2.1.1,3.0.0-beta.6,LATEST_BETA
@azure/arm-mobilenetwork,sdk/mobilenetwork/arm-mobilenetwork,6.0.1,sdk/mobilenetwork/arm-mobilenetwork/CHANGELOG.md,6.0.1,1.0.0-beta.3,LATEST_STABLE
@azure/arm-storageimportexport,sdk/storageimportexport/arm-storageimportexport,2.1.1,sdk/storageimportexport/arm-storageimportexport/CHANGELOG.md,2.1.1,,LATEST_STABLE
@azure/arm-sqlvirtualmachine,sdk/sqlvirtualmachine/arm-sqlvirtualmachine,5.0.0-beta.9,sdk/sqlvirtualmachine/arm-sqlvirtualmachine/CHANGELOG.md,4.1.1,5.0.0-beta.9,LATEST_BETA
@azure/arm-voiceservices,sdk/voiceservices/arm-voiceservices,1.0.1,sdk/voiceservices/arm-voiceservices/CHANGELOG.md,1.0.1,1.0.0-beta.1,LATEST_STABLE
@azure-rest/developer-devcenter,sdk/devcenter/developer-devcenter-rest,1.0.2,sdk/devcenter/developer-devcenter-rest/CHANGELOG.md,1.0.2,1.0.0-beta.3,LATEST_STABLE
@azure/arm-devcenter,sdk/devcenter/arm-devcenter,1.1.1,sdk/devcenter/arm-devcenter/CHANGELOG.md,1.1.1,1.1.0-beta.1,LATEST_STABLE
@azure/arm-streamanalytics,sdk/streamanalytics/arm-streamanalytics,5.0.0-beta.2,sdk/streamanalytics/arm-streamanalytics/CHANGELOG.md,4.1.0,5.0.0-beta.2,LATEST_BETA
@azure/arm-containerorchestratorruntime,sdk/kubernetesruntime/arm-containerorchestratorruntime,1.0.0-beta.2,sdk/kubernetesruntime/arm-containerorchestratorruntime/CHANGELOG.md,,1.0.0-beta.2,LATEST_BETA
@azure-rest/ai-content-safety,sdk/contentsafety/ai-content-safety-rest,1.0.2,sdk/contentsafety/ai-content-safety-rest/CHANGELOG.md,1.0.2,1.0.0-beta.1,LATEST_STABLE
@azure/arm-fabric,sdk/fabric/arm-fabric,1.0.1,sdk/fabric/arm-fabric/CHANGELOG.md,1.0.1,1.0.0-beta.1,LATEST_STABLE
@azure/arm-reservations,sdk/reservations/arm-reservations,9.0.1,sdk/reservations/arm-reservations/CHANGELOG.md,9.0.1,,LATEST_STABLE
@azure/identity-cache-persistence,sdk/identity/identity-cache-persistence,1.2.1,sdk/identity/identity-cache-persistence/CHANGELOG.md,1.2.1,1.0.0-beta.2,LATEST_STABLE
@azure/arm-security,sdk/security/arm-security,6.0.0-beta.6,sdk/security/arm-security/CHANGELOG.md,5.0.0,6.0.0-beta.6,LATEST_BETA
@azure/arm-selfhelp,sdk/selfhelp/arm-selfhelp,2.0.0-beta.6,sdk/selfhelp/arm-selfhelp/CHANGELOG.md,1.0.0,2.0.0-beta.6,LATEST_BETA
@azure/arm-imagebuilder,sdk/imagebuilder/arm-imagebuilder,4.1.1,sdk/imagebuilder/arm-imagebuilder/CHANGELOG.md,4.1.1,,LATEST_STABLE
@azure/attestation,sdk/attestation/attestation,1.0.1,sdk/attestation/attestation/CHANGELOG.md,1.0.1,1.0.0-beta.4,LATEST_STABLE
@azure/arm-attestation,sdk/attestation/arm-attestation,2.1.1,sdk/attestation/arm-attestation/CHANGELOG.md,2.1.1,,LATEST_STABLE
@azure/arm-iotcentral,sdk/iotcentral/arm-iotcentral,7.0.0-beta.3,sdk/iotcentral/arm-iotcentral/CHANGELOG.md,6.0.0,7.0.0-beta.3,LATEST_BETA
